group,value
control,1
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,1
control,0
control,0
control,1
control,0
control,0
control,1
control,1
control,0
control,0
control,0
control,0
control,1
control,0
control,1
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,1
control,1
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,1
control,1
control,0
control,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,1
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,1
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,1
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,1
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,1
test1,1
test1,1
test1,1
test1,0
test1,1
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,1
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,1
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,1
test1,1
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,1
test1,0
test1,0
test1,1
test1,1
test1,1
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,0
test1,1
test1,1
test1,0
test1,0
test1,1
test1,1
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,1
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,1
test1,1
test1,1
test1,1
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test1,1
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,1
test1,0
test1,1
test1,0
test1,1
test1,0
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,1
test1,1
test1,1
test1,1
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,0
test1,1
test1,0
test1,0
test2,1
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,1
test2,1
test2,1
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,1
test2,0
test2,1
test2,1
test2,0
test2,1
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,1
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,1
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,1
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,1
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,1
test2,1
test2,0
test2,1
test2,1
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,1
test2,0
test2,1
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,1
test2,0
test2,1
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,1
test2,1
test2,0
test2,0
test2,1
test2,1
test2,1
test2,1
test2,1
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,1
test2,1
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,1
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,1
test2,0
test2,0
test2,1
test2,0
test2,1
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,1
test2,1
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,1
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,1
test2,1
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,1
test2,1
test2,0
test2,0
test2,0
test2,0
test2,1
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,1
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,1
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,1
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,1
test2,1
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,0
test2,0
test2,0
test2,0
test2,1
test2,0
test2,1
test2,1
test2,0
test2,1
test2,0
test2,0
test2,0
